"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE(₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"LIQUIDSBI","SBI NIFTY 1D Rate ETF","999.99","1,000.01","999.99","1,000.00","1,000.01","-","0.01","-","11,346","1.13","1,000.00","1,000.01","990.15",0,"09-May-2024","-","09-Apr-2025"
"GOLDETFADD","DSP Gold ETF","94.87","95.75","94.00","94.40","94.40","-","-","-","13,58,851","12.82","94.73","97.50","66.90",7.72,"09-May-2024","33.62","09-Apr-2025"
"ALPHA","NIFTY Alpha 50 Index","44.50","45.00","43.52","44.92","44.92","-","-","-","17,77,732","7.88","44.82","60.91","39.00",7.27,"09-May-2024","-5.14","09-Apr-2025"
"LIQUID","Mirae Asset Nifty 1D Rate Liquid ETF","1,000.00","1,000.00","999.99","999.99","999.99","-","-","-","1,21,481","12.15","1,000.00","1,030.00","990.00",0,"09-May-2024","-","09-Apr-2025"
"LIQUIDETF","Nifty1D rate index","999.99","1,000.01","999.99","999.99","999.99","-","-","-","1,96,097","19.61","1,000.00","1,020.00","980.55",0,"09-May-2024","-","09-Apr-2025"
"ABSLLIQUID","Aditya Birla Sun Life CRISIL Overnight Fund AI ETF","999.99","1,000.01","999.99","999.99","999.99","-","-","-","5,870","0.59","1,000.00","1,030.00","990.00",0,"09-May-2024","-","09-Apr-2025"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF","54.57","54.60","53.15","54.58","54.57","-","-0.01","-0.02","34,518","0.19","54.39","66.28","49.53",4.89,"09-May-2024","4.47","09-Apr-2025"
"MOMENTUM","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","29.25","29.30","28.10","29.31","29.30","-","-0.01","-0.03","67,688","0.20","29.43","39.57","25.75",9.88,"09-May-2024","-9.47","09-Apr-2025"
"LICMFGOLD","Gold","8,829.00","8,860.00","8,666.60","8,828.25","8,825.00","-","-3.25","-0.04","1,778","1.57","-","9,200.00","6,266.00",7.75,"09-May-2024","34.11","09-Apr-2025"
"NIFTYBETF","Bajaj Finserv Nifty 50 ETF","244.26","245.44","242.12","245.57","245.44","-","-0.13","-0.05","5,229","0.13","245.54","273.52","218.00",7.45,"09-May-2024","10.57","09-Apr-2025"
"HEALTHADD","DSP Nifty Healthcare ETF","136.40","137.85","136.11","137.77","137.70","-","-0.07","-0.05","648","0.01","137.51","151.58","115.00",4.16,"09-May-2024","16.36","09-Apr-2025"
"SELECTIPO","BSE Select IPO Index","43.00","43.51","42.50","43.51","43.49","-","-0.02","-0.05","5,267","0.02","43.39","50.00","35.40",6.41,"-","-","09-Apr-2025"
"GOLDSHARE","Gold","81.75","81.90","80.35","81.75","81.70","-","-0.05","-0.06","2,15,084","1.75","81.40","84.35","58.55",7.99,"09-May-2024","34.13","09-Apr-2025"
"EBBETF0431","Nifty BHARAT Bond","1,344.00","1,346.00","1,340.26","1,345.83","1,344.99","-","-0.84","-0.06","1,187","0.16","1,341.61","1,360.00","1,212.05",0.66,"09-May-2024","10.29","09-Apr-2025"
"SBIETFIT","Nifty IT Index","386.00","388.00","372.02","388.24","388.00","-","-0.24","-0.06","7,653","0.29","388.48","510.00","335.00",10.33,"09-May-2024","9.98","09-Apr-2025"
"AXISHCETF","Nifty Healthcare Index","138.99","141.96","136.75","139.04","138.96","-","-0.08","-0.06","3,477","0.05","138.87","159.99","116.00",4.12,"09-May-2024","17.88","09-Apr-2025"
"MOVALUE","Motilal Oswal S&P BSE Enhanced Value ETF","94.91","96.80","94.42","96.21","96.14","-","-0.07","-0.07","1,37,010","1.32","96.06","114.10","85.91",6.36,"09-May-2024","0.64","09-Apr-2025"
"AXISVALUE","Nifty500 Value 50 TRI","26.98","26.98","26.38","26.74","26.72","-","-0.02","-0.07","20,199","0.05","26.65","29.50","24.00",5.7,"-","-","09-Apr-2025"
"NV20","Nifty50 Value 20","144.89","144.98","139.12","145.08","144.97","-","-0.11","-0.08","63,921","0.91","145.01","169.00","131.63",6.17,"09-May-2024","3.16","09-Apr-2025"
"GOLDIETF","Gold","83.63","83.91","82.62","83.62","83.55","-","-0.07","-0.08","29,50,650","24.63","83.43","87.91","59.00",8.3,"09-May-2024","34.02","09-Apr-2025"
"NIFTY100EW","Nifty 100 Equal Weight Index","30.46","30.60","30.06","30.63","30.60","-","-0.03","-0.10","4,146","0.01","30.60","32.21","24.25",4.3,"-","-","09-Apr-2025"
"EBBETF0433","BHARAT Bond ETF-April 2033","1,229.74","1,235.95","1,226.05","1,235.91","1,234.60","-","-1.31","-0.11","5,944","0.73","1,230.28","1,238.73","1,101.01",0.8,"09-May-2024","10.82","09-Apr-2025"
"METAL","Nifty Metal Total Return Index","8.30","8.50","8.24","8.44","8.43","-","-0.01","-0.12","3,67,574","0.31","8.43","10.84","7.73",7.38,"-","-","09-Apr-2025"
"PHARMABEES","Nifty Pharma TRI","21.58","21.69","21.29","21.58","21.55","-","-0.03","-0.14","26,86,099","5.75","21.55","24.65","18.03",5.19,"09-May-2024","14.43","09-Apr-2025"
"ITETFADD","DSP Nifty IT ETF","36.81","36.88","36.47","36.88","36.83","-","-0.05","-0.14","13,267","0.05","37.04","48.66","32.00",9.94,"09-May-2024","9.91","09-Apr-2025"
"ITBEES","Nifty IT TRI","38.81","38.81","38.24","38.81","38.75","-","-0.06","-0.15","50,32,717","19.43","38.92","49.76","33.63",10,"09-May-2024","9.91","09-Apr-2025"
"GILT5YBEES","Nifty 5 yr Benchmark G-Sec Index","61.90","61.90","61.51","61.80","61.70","-","-0.10","-0.16","76,873","0.47","61.60","71.00","54.25",1.08,"09-May-2024","11.18","09-Apr-2025"
"UNIONGOLD","Commodity Gold","95.45","95.80","95.00","95.95","95.80","-","-0.15","-0.16","1,068","0.01","95.83","99.55","82.00",7.46,"-","-","09-Apr-2025"
"AXISBPSETF","Nifty AAA Bond Plus SDL Apr 2026 50:50 Index","12.67","12.67","12.49","12.57","12.55","-","-0.02","-0.16","50,826","0.06","12.64","14.00","11.00",0.88,"09-May-2024","7.08","09-Apr-2025"
"SETFGOLD","Gold","83.40","83.63","82.51","83.44","83.30","-","-0.14","-0.17","30,35,954","25.28","83.28","97.00","58.65",8.4,"09-May-2024","34.20","09-Apr-2025"
"HDFCMOMENT","HDFC NIFTY200 Momentum 30 ETF","29.06","29.23","28.52","29.28","29.23","-","-0.05","-0.17","3,62,624","1.05","29.28","39.50","25.50",9.94,"09-May-2024","-9.24","09-Apr-2025"
"INFRABEES","Nifty Infra","890.10","902.00","887.35","899.11","897.49","-","-1.62","-0.18","18,799","1.68","900.85","1,020.00","783.98",7.04,"09-May-2024","4.38","09-Apr-2025"
"SHARIABEES","Shariah","491.27","495.00","487.43","495.89","495.00","-","-0.89","-0.18","3,881","0.19","496.08","617.70","439.91",4.4,"09-May-2024","2.62","09-Apr-2025"
"MSCIINDIA","MSCI India Index","28.26","28.26","27.92","28.29","28.24","-","-0.05","-0.18","12,310","0.03","28.30","29.16","25.60",7.5,"-","-","09-Apr-2025"
"GOLDETF","Mirae Asset Gold ETF","94.79","95.14","93.88","94.98","94.80","-","-0.18","-0.19","2,87,030","2.72","94.84","97.42","67.25",7.68,"09-May-2024","33.56","09-Apr-2025"
"MOM30IETF","ICICI Prudential Nifty 200 Momentum 30 ETF","29.38","29.44","29.04","29.47","29.41","-","-0.06","-0.20","10,09,836","2.95","29.57","39.42","25.00",9.93,"09-May-2024","-9.67","09-Apr-2025"
"CPSEETF","CPSE ETF","89.13","89.13","85.00","86.53","86.35","-","-0.18","-0.21","23,04,076","19.85","86.75","106.60","74.90",3.27,"09-May-2024","3.02","09-Apr-2025"
"ITIETF","Nifty IT Index","38.53","38.77","38.29","38.79","38.71","-","-0.08","-0.21","4,11,869","1.59","38.87","49.53","33.43",10.2,"09-May-2024","9.95","09-Apr-2025"
"GOLDBEES","Gold","80.48","81.15","80.02","80.94","80.76","-","-0.18","-0.22","1,71,52,718","138.51","80.85","83.56","57.85",7.89,"09-May-2024","33.73","09-Apr-2025"
"AXISGOLD","Gold","81.35","81.62","80.62","81.44","81.25","-","-0.19","-0.23","4,23,340","3.44","81.38","84.89","58.20",7.65,"09-May-2024","33.73","09-Apr-2025"
"ALPL30IETF","Nifty Alpha Low-Volatility 30 Index","26.63","26.70","26.20","26.58","26.52","-","-0.06","-0.23","14,58,012","3.85","26.58","32.67","24.00",5.37,"09-May-2024","-90.09","09-Apr-2025"
"LOWVOLIETF","Nifty 100 Low Volatility 30 Index","21.17","21.17","20.62","20.96","20.91","-","-0.05","-0.24","11,74,794","2.45","21.01","24.40","18.90",4.76,"09-May-2024","9.36","09-Apr-2025"
"FINIETF","ICICI Prudential Nifty Financial Services Ex-Bank ETF","27.30","27.30","26.65","27.37","27.30","-","-0.07","-0.26","2,73,876","0.74","27.44","30.00","21.76",4.72,"09-May-2024","18.97","09-Apr-2025"
"HDFCGOLD","Gold","82.52","83.64","82.52","83.49","83.25","-","-0.24","-0.29","23,63,739","19.68","83.35","86.04","59.57",7.81,"09-May-2024","33.96","09-Apr-2025"
"QGOLDHALF","Gold","81.07","81.07","79.82","80.85","80.61","-","-0.24","-0.30","13,952","0.11","80.01","83.18","57.60",7.93,"09-May-2024","33.75","09-Apr-2025"
"CONSUMBEES","Nifty India Consumption TRI","123.11","123.52","120.94","123.69","123.32","-","-0.37","-0.30","1,38,687","1.70","123.94","148.05","110.86",3.65,"09-May-2024","8.43","09-Apr-2025"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF","83.42","84.11","82.81","84.38","84.11","-","-0.27","-0.32","58,721","0.49","84.39","101.33","75.61",4.65,"09-May-2024","-0.98","09-Apr-2025"
"BBNPPGOLD","Baroda BNP Paribas Gold ETF","94.90","95.75","93.75","94.95","94.65","-","-0.30","-0.32","1,462","0.01","94.73","98.20","67.10",7.62,"09-May-2024","33.40","09-Apr-2025"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","9.40","9.59","9.32","9.50","9.47","-","-0.03","-0.32","1,89,370","0.18","9.51","11.82","8.00",2.95,"-","-","09-Apr-2025"
"LICNETFN50","Nifty 50","263.64","265.94","263.64","265.67","264.79","-","-0.88","-0.33","2,839","0.08","267.75","326.00","230.00",6.89,"09-May-2024","10.18","09-Apr-2025"
"LICNETFGSC","GSEC10 NSE Index","28.29","28.40","27.96","28.19","28.09","-","-0.10","-0.35","1,73,562","0.49","28.09","28.46","24.51",0.83,"09-May-2024","11.61","09-Apr-2025"
"MON50EQUAL","Nifty 50 Equal Weight Total Return Index","29.97","30.28","29.78","29.97","29.86","-","-0.11","-0.37","164","-","29.97","30.28","29.78","-","-","-","-"
"MULTICAP","Nifty500 Multicap 50:25:25 Index","15.06","15.06","14.68","14.99","14.93","-","-0.06","-0.40","1,21,995","0.18","14.99","17.55","13.43",6.5,"-","-","09-Apr-2025"
"TECH","Nifty IT TRI Index","38.09","38.09","36.91","37.91","37.76","-","-0.15","-0.40","16,378","0.06","38.00","49.77","33.20",10.02,"09-May-2024","9.79","09-Apr-2025"
"BBETF0432","Nifty BHARAT Bond Index - April 2032","1,266.99","1,269.87","1,256.97","1,270.10","1,265.00","-","-5.10","-0.40","2,469","0.31","1,263.18","1,285.00","1,130.00",0.8,"09-May-2024","11.47","09-Apr-2025"
"SMALLCAP","Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF","41.53","41.53","40.60","41.53","41.36","-","-0.17","-0.41","18,96,351","7.77","41.60","55.25","37.45",4.3,"09-May-2024","-8.05","09-Apr-2025"
"HDFCNIFIT","HDFC NIFTY IT ETF","37.70","37.70","36.73","37.31","37.15","-","-0.16","-0.43","35,810","0.13","37.39","47.74","32.24",10.15,"09-May-2024","10.02","09-Apr-2025"
"HDFCVALUE","HDFC NIFTY50 Value 20 ETF","130.41","130.95","127.71","130.60","130.03","-","-0.57","-0.44","3,837","0.05","130.83","155.70","117.50",5.56,"09-May-2024","3.86","09-Apr-2025"
"OILIETF","Nifty Oil & Gas Index","11.15","11.15","10.97","11.16","11.11","-","-0.05","-0.45","15,26,111","1.69","11.20","14.00","9.42",9.47,"-","-","09-Apr-2025"
"MOM50","Nifty 50","242.90","248.74","242.89","248.89","247.75","-","-1.14","-0.46","9,334","0.23","249.74","281.00","218.00",7.04,"09-May-2024","10.27","09-Apr-2025"
"HDFCLOWVOL","HDFC NIFTY100 Low Volatility 30 ETF","19.85","19.85","19.27","19.58","19.49","-","-0.09","-0.46","11,756","0.02","19.54","22.25","17.22",4.97,"09-May-2024","9.34","09-Apr-2025"
"HDFCNIFTY","Nifty 50","262.53","267.80","262.00","267.90","266.66","-","-1.24","-0.46","3,35,555","8.94","268.85","292.45","239.71",7.16,"09-May-2024","10.50","09-Apr-2025"
"EVINDIA","Nifty EV and New Age Automotive Total Return Index","27.39","27.40","27.01","27.53","27.40","-","-0.13","-0.47","2,30,394","0.63","27.52","36.00","23.83",10.61,"-","-","09-Apr-2025"
"GROWWGOLD","Commodity","95.66","96.00","93.80","95.71","95.25","-","-0.46","-0.48","1,85,880","1.77","95.71","98.88","73.00",7.61,"-","-","09-Apr-2025"
"IVZINGOLD","Gold","8,549.85","8,549.90","8,413.00","8,473.60","8,431.00","-","-42.60","-0.50","243","0.21","8,444.20","8,800.00","6,060.25",7.29,"09-May-2024","33.36","09-Apr-2025"
"TOP10ADD","Nifty Top 10 Equal Weight Index","96.10","96.10","95.23","96.08","95.60","-","-0.48","-0.50","2,07,753","1.98","96.17","119.70","86.50",7.36,"-","-","09-Apr-2025"
"MONQ50","Nasdaq Q-50 Total Return Index","72.51","72.51","68.00","70.40","70.04","-","-0.36","-0.51","1,90,795","1.33","67.55","93.32","57.51",4.41,"09-May-2024","12.44","09-Apr-2025"
"ALPHAETF","Mirae Asset Nifty 200 Alpha 30 ETF","23.28","23.31","22.03","23.18","23.06","-","-0.12","-0.52","8,13,723","1.86","23.10","30.20","19.61",8.1,"09-May-2024","-4.03","09-Apr-2025"
"FMCGIETF","Nifty FMCG Index","58.95","58.96","58.12","59.05","58.73","-","-0.32","-0.54","6,27,620","3.67","59.14","71.20","53.12",0.69,"09-May-2024","-89.67","09-Apr-2025"
"SETFNN50","Nifty Next 50","661.49","664.34","654.25","665.10","661.51","-","-3.59","-0.54","64,779","4.27","664.32","825.60","585.51",3.15,"09-May-2024","-0.80","09-Apr-2025"
"HDFCNIF100","HDFC NIFTY 100 ETF","25.03","25.09","24.76","25.16","25.02","-","-0.14","-0.56","38,829","0.10","25.19","29.10","22.23",6.13,"09-May-2024","7.92","09-Apr-2025"
"NIF100BEES","Nifty 100 TRI","257.06","258.50","254.80","258.59","257.10","-","-1.49","-0.58","44,004","1.13","259.10","289.98","220.00",6.1,"09-May-2024","6.46","09-Apr-2025"
"SBIETFCON","Nifty India Consumption Index","112.79","114.89","110.00","114.67","114.00","-","-0.67","-0.58","26,022","0.29","114.79","136.00","101.64",3.64,"09-May-2024","8.75","09-Apr-2025"
"NIFTY50ADD","Nifty 50 Index","248.49","249.75","247.51","250.88","249.39","-","-1.49","-0.59","48,728","1.21","251.30","278.30","217.84",7.19,"09-May-2024","10.36","09-Apr-2025"
"MIDSMALL","Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF","45.46","45.50","44.42","45.77","45.50","-","-0.27","-0.59","3,15,199","1.42","45.53","57.00","40.00",9,"-","-","09-Apr-2025"
"HEALTHIETF","Nifty Healthcare Index","140.54","140.54","137.56","139.84","139.00","-","-0.84","-0.60","65,160","0.91","139.61","157.70","116.01",4.2,"09-May-2024","18.04","09-Apr-2025"
"GROWWRAIL","Nifty India Railways PSU Index","33.00","33.22","32.01","33.42","33.22","-","-0.20","-0.60","1,81,084","0.59","33.33","39.70","28.72",-1.67,"-","-","09-Apr-2025"
"EVIETF","Nifty EV & New Age Automotive ETF","27.56","27.65","27.15","27.50","27.33","-","-0.17","-0.62","67,734","0.19","27.52","29.27","25.72","-","-","-","-"
"NIF100IETF","Nifty 100","26.99","28.39","26.63","27.17","27.00","-","-0.17","-0.63","3,58,298","0.97","27.25","34.57","23.85",7.2,"09-May-2024","-89.14","09-Apr-2025"
"BSLGOLDETF","Gold","84.99","86.75","84.48","85.79","85.25","-","-0.54","-0.63","1,61,030","1.38","85.64","88.75","56.57",8.48,"09-May-2024","34.13","09-Apr-2025"
"AONETOTAL","Nifty Total Market Index","10.93","11.00","9.66","10.99","10.92","-","-0.07","-0.64","3,89,153","0.42","10.97","11.57","9.63",6.04,"-","-","09-Apr-2025"
"GOLDCASE","Zerodha Gold ETF","15.83","15.83","15.18","15.37","15.27","-","-0.10","-0.65","15,85,514","2.43","15.34","15.92","10.75",7.44,"09-May-2024","33.39","09-Apr-2025"
"BSLSENETFG","BSE SENSEX Index","79.12","80.05","78.33","79.49","78.96","-","-0.53","-0.67","1,683","0.01","79.57","87.70","61.47",7.39,"09-May-2024","10.64","09-Apr-2025"
"HDFCBSE500","HDFC S&P BSE 500 ETF","34.69","35.31","34.51","35.30","35.06","-","-0.24","-0.68","22,356","0.08","34.85","44.40","31.14",6.61,"09-May-2024","6.71","09-Apr-2025"
"MONIFTY500","Motilal Oswal Nifty 500 ETF","21.98","22.07","21.63","22.08","21.93","-","-0.15","-0.68","3,20,542","0.70","22.07","25.00","19.50",6.69,"09-May-2024","7.26","09-Apr-2025"
"TOP100CASE","Zerodha Nifty 100 ETF","10.48","10.48","9.91","10.17","10.10","-","-0.07","-0.69","3,13,040","0.32","10.20","12.00","8.01",5.99,"-","-","09-Apr-2025"
"MOLOWVOL","Nifty Midcap 100 TRI","36.40","36.40","35.95","36.40","36.15","-","-0.25","-0.69","42,322","0.15","36.39","41.85","33.05",5.08,"09-May-2024","4.24","09-Apr-2025"
"NIFTYETF","Nifty 50","260.19","260.19","254.01","258.91","257.09","-","-1.82","-0.70","1,38,344","3.56","259.48","283.80","226.00",7.03,"09-May-2024","10.38","09-Apr-2025"
"ECAPINSURE","BSE Capital Markets & Insurance Total Return Index","20.14","20.14","19.60","20.04","19.90","-","-0.14","-0.70","38,817","0.08","19.99","24.35","17.13",6.54,"-","-","09-Apr-2025"
"SENSEXIETF","SENSEX","901.40","904.96","894.70","908.29","901.92","-","-6.37","-0.70","27,896","2.50","907.60","980.00","720.00",7.44,"09-May-2024","10.79","09-Apr-2025"
"SETFNIF50","Nifty 50","254.79","255.28","250.25","256.04","254.25","-","-1.79","-0.70","52,61,769","133.50","256.84","277.25","227.33",6.8,"09-May-2024","10.17","09-Apr-2025"
"UTINIFTETF","Nifty 50","262.04","263.04","260.77","263.54","261.70","-","-1.84","-0.70","11,63,074","30.43","264.41","285.31","235.00",7.08,"09-May-2024","10.52","09-Apr-2025"
"EQUAL50ADD","NIFTY 50 Equal Weight Index","309.00","309.00","305.01","309.54","307.33","-","-2.21","-0.71","8,559","0.26","308.73","351.28","280.01",6.47,"09-May-2024","8.19","09-Apr-2025"
"AXISNIFTY","Nifty 50","271.55","271.55","260.50","263.64","261.74","-","-1.90","-0.72","5,901","0.15","264.07","288.50","235.00",7.2,"09-May-2024","10.61","09-Apr-2025"
"NIFTY1","Nifty 50","257.61","263.68","255.55","264.12","262.23","-","-1.89","-0.72","2,98,409","7.81","264.61","287.68","235.95",7.05,"09-May-2024","10.35","09-Apr-2025"
"BANKBETF","Bajaj Finserv Nifty Bank ETF","53.85","54.29","53.75","54.59","54.19","-","-0.40","-0.73","31,052","0.17","54.67","62.13","41.51",6.68,"09-May-2024","13.73","09-Apr-2025"
"NIF5GETF","UTI Nifty 5 yr Benchmark G-Sec ETF","62.60","62.60","61.81","62.29","61.81","-","-0.48","-0.77","1,162","0.01","61.88","65.00","55.50",0.77,"09-May-2024","11.39","09-Apr-2025"
"AXSENSEX","AXIS S&P BSE SENSEX ETF","81.35","81.53","80.90","81.85","81.22","-","-0.63","-0.77","913","0.01","81.91","98.00","66.40",7.53,"09-May-2024","10.91","09-Apr-2025"
"PVTBANIETF","Nifty Private Bank Index","26.63","27.03","26.46","27.10","26.89","-","-0.21","-0.77","10,05,524","2.70","27.22","28.01","22.23",6.85,"09-May-2024","14.27","09-Apr-2025"
"NV20IETF","Nifty50 Value 20","14.36","14.36","13.95","14.22","14.11","-","-0.11","-0.77","5,79,358","0.81","14.18","17.11","11.20",5.78,"09-May-2024","3.83","09-Apr-2025"
"EGOLD","Edelweiss Gold ETF","98.35","98.35","96.80","97.90","97.15","-","-0.75","-0.77","4,280","0.04","97.72","101.45","69.70",7.1,"09-May-2024","32.92","09-Apr-2025"
"NIFTYIETF","Nifty 50","269.59","269.59","265.48","269.68","267.60","-","-2.08","-0.77","10,20,204","27.30","270.32","295.30","234.97",7.16,"09-May-2024","10.60","09-Apr-2025"
"NETF","Tata Nifty 50 Exchange Traded Fund","258.39","258.95","255.18","259.53","257.50","-","-2.03","-0.78","5,360","0.14","259.80","282.96","227.05",7.17,"09-May-2024","10.05","09-Apr-2025"
"GOLD360","Commodity ﾖ Gold","95.00","97.00","95.00","95.90","95.15","-","-0.75","-0.78","1,867","0.02","95.80","105.25","86.30",6.02,"-","-","09-Apr-2025"
"UTISENSETF","SENSEX","870.10","871.00","862.00","874.73","867.62","-","-7.11","-0.81","1,448","0.13","874.57","938.90","771.00",7.02,"09-May-2024","10.72","09-Apr-2025"
"NIF10GETF","UTI Nifty 10 yr Benchmark G-Sec ETF","25.72","26.03","25.59","25.87","25.66","-","-0.21","-0.81","12,774","0.03","25.71","27.25","22.75",1.22,"09-May-2024","11.61","09-Apr-2025"
"ESG","NIFTY100 ESG SECTOR LEADERS","39.08","40.79","39.08","40.92","40.59","-","-0.33","-0.81","15,251","0.06","40.98","44.74","35.70",6.81,"09-May-2024","10.06","09-Apr-2025"
"MOQUALITY","Motilal Oswal S&P BSE Quality ETF","179.75","180.32","178.23","180.47","179.00","-","-1.47","-0.81","689","0.01","180.02","222.70","162.15",6.88,"09-May-2024","-0.03","09-Apr-2025"
"NIFTYBEES","Nifty 50","269.50","270.09","266.16","271.04","268.75","-","-2.29","-0.84","77,25,810","207.62","271.73","293.99","231.30",6.96,"09-May-2024","10.27","09-Apr-2025"
"NIFTYQLITY","Aditya Birla Sun Life Nifty 200 Quality 30 ETF","20.27","21.00","19.95","20.27","20.10","-","-0.17","-0.84","1,33,313","0.27","20.17","25.10","18.30",6.12,"09-May-2024","6.79","09-Apr-2025"
"INFRAIETF","ICICI Prudential Nifty Infrastructure ETF","88.26","89.13","88.03","89.16","88.41","-","-0.75","-0.84","64,969","0.57","89.39","100.10","77.65",6.97,"09-May-2024","5.52","09-Apr-2025"
"MAHKTECH","Hang Seng TECH Total Return Index","22.38","22.38","21.34","22.00","21.81","-","-0.19","-0.86","9,67,930","2.09","19.25","26.74","12.90",11.54,"09-May-2024","57.27","09-Apr-2025"
"MOSMALL250","Motilal Oswal Nifty Smallcap 250 ETF","15.04","15.10","14.80","15.17","15.04","-","-0.13","-0.86","14,83,268","2.22","15.19","19.30","13.22",4.51,"09-May-2024","-0.53","09-Apr-2025"
"GSEC10ABSL","CRISIL 10 Year Gilt ETF","109.50","109.50","108.00","108.96","108.00","-","-0.96","-0.88","206","-","108.13","119.76","99.80",1.41,"-","-","09-Apr-2025"
